Energy consumption time period,Usage (kilowatt-hours),Cost (Canadian Dollar)
2020/05/30 17:00 to 2020/05/30 18:00,2.16,0.14
2020/05/30 18:00 to 2020/05/30 19:00,1.85,0.12
2020/05/30 19:00 to 2020/05/30 20:00,1.96,0.13
2020/05/30 20:00 to 2020/05/30 21:00,2.51,0.16
2020/05/30 21:00 to 2020/05/30 22:00,1.81,0.12
2020/05/30 22:00 to 2020/05/30 23:00,1.5,0.1
2020/05/30 23:00 to 2020/05/31 00:00,1.46,0.09
2020/05/31 00:00 to 2020/05/31 01:00,1.71,0.11
2020/05/31 01:00 to 2020/05/31 02:00,2.02,0.13
2020/05/31 02:00 to 2020/05/31 03:00,1.8,0.12
2020/05/31 03:00 to 2020/05/31 04:00,1.24,0.08
2020/05/31 04:00 to 2020/05/31 05:00,0.99,0.06
2020/05/31 05:00 to 2020/05/31 06:00,0.83,0.05
2020/05/31 06:00 to 2020/05/31 07:00,0.79,0.05
2020/05/31 07:00 to 2020/05/31 08:00,0.74,0.05
2020/05/31 08:00 to 2020/05/31 09:00,0.87,0.06
2020/05/31 09:00 to 2020/05/31 10:00,0.87,0.06
2020/05/31 10:00 to 2020/05/31 11:00,0.9,0.06
2020/05/31 11:00 to 2020/05/31 12:00,0.85,0.06
2020/05/31 12:00 to 2020/05/31 13:00,1.94,0.13
2020/05/31 13:00 to 2020/05/31 14:00,2.01,0.13
2020/05/31 14:00 to 2020/05/31 15:00,2.11,0.14
2020/05/31 15:00 to 2020/05/31 16:00,2.14,0.14
2020/05/31 16:00 to 2020/05/31 17:00,2.18,0.14
2020/05/31 17:00 to 2020/05/31 18:00,2.33,0.15
2020/05/31 18:00 to 2020/05/31 19:00,2.91,0.19
2020/05/31 19:00 to 2020/05/31 20:00,2.61,0.17
2020/05/31 20:00 to 2020/05/31 21:00,2.12,0.14
2020/05/31 21:00 to 2020/05/31 22:00,1.56,0.1
2020/05/31 22:00 to 2020/05/31 23:00,1.69,0.11
2020/05/31 23:00 to 2020/06/01 00:00,1.63,0.11
2020/06/01 00:00 to 2020/06/01 01:00,1.7,0.22
2020/06/01 01:00 to 2020/06/01 02:00,1.49,0.19
2020/06/01 02:00 to 2020/06/01 03:00,0.67,0.09
2020/06/01 03:00 to 2020/06/01 04:00,0.84,0.11
2020/06/01 04:00 to 2020/06/01 05:00,0.75,0.1
2020/06/01 05:00 to 2020/06/01 06:00,0.69,0.09
2020/06/01 06:00 to 2020/06/01 07:00,0.74,0.09
2020/06/01 07:00 to 2020/06/01 08:00,0.88,0.11
2020/06/01 08:00 to 2020/06/01 09:00,0.88,0.11
2020/06/01 09:00 to 2020/06/01 10:00,0.76,0.1
2020/06/01 10:00 to 2020/06/01 11:00,1.52,0.19
2020/06/01 11:00 to 2020/06/01 12:00,2.49,0.32
2020/06/01 12:00 to 2020/06/01 13:00,2.13,0.27
2020/06/01 13:00 to 2020/06/01 14:00,1.91,0.24
2020/06/01 14:00 to 2020/06/01 15:00,2.4,0.31
2020/06/01 15:00 to 2020/06/01 16:00,2.7,0.35
2020/06/01 16:00 to 2020/06/01 17:00,4.21,0.54
2020/06/01 17:00 to 2020/06/01 18:00,2.65,0.34
2020/06/01 18:00 to 2020/06/01 19:00,3.33,0.43
2020/06/01 19:00 to 2020/06/01 20:00,3.22,0.41
2020/06/01 20:00 to 2020/06/01 21:00,2.65,0.34
2020/06/01 21:00 to 2020/06/01 22:00,1.62,0.21
2020/06/01 22:00 to 2020/06/01 23:00,1.66,0.21
2020/06/01 23:00 to 2020/06/02 00:00,2.35,0.3
2020/06/02 00:00 to 2020/06/02 01:00,2.18,0.28
2020/06/02 01:00 to 2020/06/02 02:00,1.56,0.2
2020/06/02 02:00 to 2020/06/02 03:00,1.11,0.14
2020/06/02 03:00 to 2020/06/02 04:00,0.8,0.1
2020/06/02 04:00 to 2020/06/02 05:00,0.78,0.1
2020/06/02 05:00 to 2020/06/02 06:00,0.7,0.09
2020/06/02 06:00 to 2020/06/02 07:00,0.64,0.08
2020/06/02 07:00 to 2020/06/02 08:00,0.85,0.11
2020/06/02 08:00 to 2020/06/02 09:00,0.92,0.12
2020/06/02 09:00 to 2020/06/02 10:00,0.75,0.1
2020/06/02 10:00 to 2020/06/02 11:00,1.14,0.15
2020/06/02 11:00 to 2020/06/02 12:00,3.01,0.39
2020/06/02 12:00 to 2020/06/02 13:00,3.39,0.43
2020/06/02 13:00 to 2020/06/02 14:00,2.9,0.37
2020/06/02 14:00 to 2020/06/02 15:00,3.62,0.46
2020/06/02 15:00 to 2020/06/02 16:00,4.08,0.52
2020/06/02 16:00 to 2020/06/02 17:00,3.89,0.5
2020/06/02 17:00 to 2020/06/02 18:00,5.39,0.69
2020/06/02 18:00 to 2020/06/02 19:00,5.34,0.68
2020/06/02 19:00 to 2020/06/02 20:00,3.51,0.45
2020/06/02 20:00 to 2020/06/02 21:00,3.66,0.47
2020/06/02 21:00 to 2020/06/02 22:00,3.68,0.47
2020/06/02 22:00 to 2020/06/02 23:00,3.58,0.46
2020/06/02 23:00 to 2020/06/03 00:00,3.55,0.45
2020/06/03 00:00 to 2020/06/03 01:00,3.75,0.48
2020/06/03 01:00 to 2020/06/03 02:00,2.17,0.28
2020/06/03 02:00 to 2020/06/03 03:00,1.52,0.19
2020/06/03 03:00 to 2020/06/03 04:00,1.63,0.21
2020/06/03 04:00 to 2020/06/03 05:00,1.42,0.18
2020/06/03 05:00 to 2020/06/03 06:00,1.4,0.18
2020/06/03 06:00 to 2020/06/03 07:00,1.23,0.16
2020/06/03 07:00 to 2020/06/03 08:00,1.31,0.17
2020/06/03 08:00 to 2020/06/03 09:00,1.5,0.19
2020/06/03 09:00 to 2020/06/03 10:00,2.62,0.34
2020/06/03 10:00 to 2020/06/03 11:00,2.84,0.36
2020/06/03 11:00 to 2020/06/03 12:00,2.99,0.38
2020/06/03 12:00 to 2020/06/03 13:00,3.14,0.4
2020/06/03 13:00 to 2020/06/03 14:00,2.68,0.34
2020/06/03 14:00 to 2020/06/03 15:00,2.42,0.31
2020/06/03 15:00 to 2020/06/03 16:00,3.78,0.48
2020/06/03 16:00 to 2020/06/03 17:00,4.47,0.57
2020/06/03 17:00 to 2020/06/03 18:00,3.55,0.45
2020/06/03 18:00 to 2020/06/03 19:00,4.07,0.52
2020/06/03 19:00 to 2020/06/03 20:00,3.52,0.45
2020/06/03 20:00 to 2020/06/03 21:00,3.5,0.45
2020/06/03 21:00 to 2020/06/03 22:00,3.44,0.44
2020/06/03 22:00 to 2020/06/03 23:00,20.4,2.61
2020/06/03 23:00 to 2020/06/04 00:00,22.86,2.93
2020/06/04 00:00 to 2020/06/04 01:00,14.58,1.87
2020/06/04 01:00 to 2020/06/04 02:00,2.04,0.26
2020/06/04 02:00 to 2020/06/04 03:00,1.4,0.18
2020/06/04 03:00 to 2020/06/04 04:00,1.33,0.17
2020/06/04 04:00 to 2020/06/04 05:00,1.37,0.18
2020/06/04 05:00 to 2020/06/04 06:00,1.27,0.16
2020/06/04 06:00 to 2020/06/04 07:00,1.23,0.16
2020/06/04 07:00 to 2020/06/04 08:00,1.29,0.17
2020/06/04 08:00 to 2020/06/04 09:00,1.44,0.18
2020/06/04 09:00 to 2020/06/04 10:00,1.94,0.25
2020/06/04 10:00 to 2020/06/04 11:00,2.36,0.3
2020/06/04 11:00 to 2020/06/04 12:00,2.68,0.34
2020/06/04 12:00 to 2020/06/04 13:00,3.14,0.4
2020/06/04 13:00 to 2020/06/04 14:00,3.3,0.42
2020/06/04 14:00 to 2020/06/04 15:00,3.04,0.39
2020/06/04 15:00 to 2020/06/04 16:00,3.01,0.39
2020/06/04 16:00 to 2020/06/04 17:00,5.65,0.72
2020/06/04 17:00 to 2020/06/04 18:00,3.96,0.51
2020/06/04 18:00 to 2020/06/04 19:00,3.69,0.47
2020/06/04 19:00 to 2020/06/04 20:00,3.63,0.46
2020/06/04 20:00 to 2020/06/04 21:00,5.06,0.65
2020/06/04 21:00 to 2020/06/04 22:00,4.9,0.63
2020/06/04 22:00 to 2020/06/04 23:00,9.02,1.15
2020/06/04 23:00 to 2020/06/05 00:00,6.59,0.84
2020/06/05 00:00 to 2020/06/05 01:00,3.75,0.48
2020/06/05 01:00 to 2020/06/05 02:00,3.63,0.46
2020/06/05 02:00 to 2020/06/05 03:00,3.16,0.4
2020/06/05 03:00 to 2020/06/05 04:00,2.34,0.3
2020/06/05 04:00 to 2020/06/05 05:00,0.81,0.1
2020/06/05 05:00 to 2020/06/05 06:00,0.92,0.12
2020/06/05 06:00 to 2020/06/05 07:00,1.06,0.14
2020/06/05 07:00 to 2020/06/05 08:00,1.41,0.18
2020/06/05 08:00 to 2020/06/05 09:00,1.88,0.24
2020/06/05 09:00 to 2020/06/05 10:00,2.18,0.28
2020/06/05 10:00 to 2020/06/05 11:00,2.81,0.36
2020/06/05 11:00 to 2020/06/05 12:00,3.02,0.39
2020/06/05 12:00 to 2020/06/05 13:00,3.33,0.43
2020/06/05 13:00 to 2020/06/05 14:00,5.45,0.7
2020/06/05 14:00 to 2020/06/05 15:00,3.43,0.44
2020/06/05 15:00 to 2020/06/05 16:00,3.46,0.44
2020/06/05 16:00 to 2020/06/05 17:00,2.49,0.32
2020/06/05 17:00 to 2020/06/05 18:00,1.06,0.14
2020/06/05 18:00 to 2020/06/05 19:00,1.81,0.23
2020/06/05 19:00 to 2020/06/05 20:00,1.41,0.18
2020/06/05 20:00 to 2020/06/05 21:00,1.18,0.15
2020/06/05 21:00 to 2020/06/05 22:00,0.94,0.12
2020/06/05 22:00 to 2020/06/05 23:00,0.79,0.1
2020/06/05 23:00 to 2020/06/06 00:00,0.75,0.1
2020/06/06 00:00 to 2020/06/06 01:00,0.7,0.05
2020/06/06 01:00 to 2020/06/06 02:00,0.69,0.04
2020/06/06 02:00 to 2020/06/06 03:00,0.62,0.04
2020/06/06 03:00 to 2020/06/06 04:00,0.67,0.04
2020/06/06 04:00 to 2020/06/06 05:00,0.53,0.03
2020/06/06 05:00 to 2020/06/06 06:00,0.53,0.03
2020/06/06 06:00 to 2020/06/06 07:00,0.57,0.04
2020/06/06 07:00 to 2020/06/06 08:00,0.62,0.04
2020/06/06 08:00 to 2020/06/06 09:00,1.13,0.07
2020/06/06 09:00 to 2020/06/06 10:00,1.56,0.1
2020/06/06 10:00 to 2020/06/06 11:00,2.44,0.16
2020/06/06 11:00 to 2020/06/06 12:00,2.59,0.17
2020/06/06 12:00 to 2020/06/06 13:00,2.7,0.18
2020/06/06 13:00 to 2020/06/06 14:00,1.67,0.11
2020/06/06 14:00 to 2020/06/06 15:00,1.41,0.09
2020/06/06 15:00 to 2020/06/06 16:00,1.59,0.1
2020/06/06 16:00 to 2020/06/06 17:00,1.57,0.1
2020/06/06 17:00 to 2020/06/06 18:00,1.58,0.1
2020/06/06 18:00 to 2020/06/06 19:00,1.78,0.12
2020/06/06 19:00 to 2020/06/06 20:00,1.99,0.13
2020/06/06 20:00 to 2020/06/06 21:00,1.47,0.1
2020/06/06 21:00 to 2020/06/06 22:00,0.7,0.05
2020/06/06 22:00 to 2020/06/06 23:00,0.67,0.04
2020/06/06 23:00 to 2020/06/07 00:00,0.53,0.03
2020/06/07 00:00 to 2020/06/07 01:00,0.53,0.03
2020/06/07 01:00 to 2020/06/07 02:00,0.59,0.04
2020/06/07 02:00 to 2020/06/07 03:00,0.64,0.04
2020/06/07 03:00 to 2020/06/07 04:00,0.61,0.04
2020/06/07 04:00 to 2020/06/07 05:00,0.57,0.04
2020/06/07 05:00 to 2020/06/07 06:00,0.53,0.03
2020/06/07 06:00 to 2020/06/07 07:00,0.53,0.03
2020/06/07 07:00 to 2020/06/07 08:00,0.7,0.05
2020/06/07 08:00 to 2020/06/07 09:00,0.69,0.04
2020/06/07 09:00 to 2020/06/07 10:00,0.63,0.04
2020/06/07 10:00 to 2020/06/07 11:00,1.18,0.08
2020/06/07 11:00 to 2020/06/07 12:00,1.83,0.12
2020/06/07 12:00 to 2020/06/07 13:00,2.39,0.16
2020/06/07 13:00 to 2020/06/07 14:00,1.62,0.11
2020/06/07 14:00 to 2020/06/07 15:00,1.24,0.08
2020/06/07 15:00 to 2020/06/07 16:00,0.98,0.06
2020/06/07 16:00 to 2020/06/07 17:00,1.23,0.08
2020/06/07 17:00 to 2020/06/07 18:00,1.54,0.1
2020/06/07 18:00 to 2020/06/07 19:00,1.86,0.12
2020/06/07 19:00 to 2020/06/07 20:00,1.71,0.11
2020/06/07 20:00 to 2020/06/07 21:00,1.08,0.07
2020/06/07 21:00 to 2020/06/07 22:00,0.71,0.05
2020/06/07 22:00 to 2020/06/07 23:00,0.55,0.04
2020/06/07 23:00 to 2020/06/08 00:00,0.53,0.03
2020/06/08 00:00 to 2020/06/08 01:00,0.56,0.07
2020/06/08 01:00 to 2020/06/08 02:00,0.63,0.08
2020/06/08 02:00 to 2020/06/08 03:00,0.63,0.08
2020/06/08 03:00 to 2020/06/08 04:00,0.64,0.08
2020/06/08 04:00 to 2020/06/08 05:00,0.55,0.07
2020/06/08 05:00 to 2020/06/08 06:00,0.6,0.08
2020/06/08 06:00 to 2020/06/08 07:00,0.58,0.07
2020/06/08 07:00 to 2020/06/08 08:00,0.67,0.09
2020/06/08 08:00 to 2020/06/08 09:00,0.6,0.08
2020/06/08 09:00 to 2020/06/08 10:00,0.5,0.06
2020/06/08 10:00 to 2020/06/08 11:00,0.56,0.07
2020/06/08 11:00 to 2020/06/08 12:00,1.43,0.18
2020/06/08 12:00 to 2020/06/08 13:00,1.74,0.22
2020/06/08 13:00 to 2020/06/08 14:00,1.44,0.18
2020/06/08 14:00 to 2020/06/08 15:00,1.67,0.21
2020/06/08 15:00 to 2020/06/08 16:00,1.39,0.18
2020/06/08 16:00 to 2020/06/08 17:00,1.62,0.21
2020/06/08 17:00 to 2020/06/08 18:00,2.01,0.26
2020/06/08 18:00 to 2020/06/08 19:00,2.05,0.26
2020/06/08 19:00 to 2020/06/08 20:00,2.11,0.27
2020/06/08 20:00 to 2020/06/08 21:00,1.72,0.22
2020/06/08 21:00 to 2020/06/08 22:00,1.72,0.22
2020/06/08 22:00 to 2020/06/08 23:00,1.66,0.21
2020/06/08 23:00 to 2020/06/09 00:00,1.49,0.19
2020/06/09 00:00 to 2020/06/09 01:00,1.63,0.21
2020/06/09 01:00 to 2020/06/09 02:00,1.74,0.22
2020/06/09 02:00 to 2020/06/09 03:00,2.51,0.32
2020/06/09 03:00 to 2020/06/09 04:00,2.36,0.3
2020/06/09 04:00 to 2020/06/09 05:00,2.38,0.3
2020/06/09 05:00 to 2020/06/09 06:00,1.21,0.15
2020/06/09 06:00 to 2020/06/09 07:00,0.68,0.09
2020/06/09 07:00 to 2020/06/09 08:00,0.77,0.1
2020/06/09 08:00 to 2020/06/09 09:00,1.96,0.25
2020/06/09 09:00 to 2020/06/09 10:00,2.16,0.28
2020/06/09 10:00 to 2020/06/09 11:00,2.75,0.35
2020/06/09 11:00 to 2020/06/09 12:00,3.28,0.42
2020/06/09 12:00 to 2020/06/09 13:00,3.4,0.44
2020/06/09 13:00 to 2020/06/09 14:00,3.47,0.44
2020/06/09 14:00 to 2020/06/09 15:00,3.61,0.46
2020/06/09 15:00 to 2020/06/09 16:00,3.53,0.45
2020/06/09 16:00 to 2020/06/09 17:00,3.96,0.51
2020/06/09 17:00 to 2020/06/09 18:00,3.54,0.45
2020/06/09 18:00 to 2020/06/09 19:00,3.58,0.46
2020/06/09 19:00 to 2020/06/09 20:00,3.6,0.46
2020/06/09 20:00 to 2020/06/09 21:00,3.53,0.45
2020/06/09 21:00 to 2020/06/09 22:00,3.44,0.44
2020/06/09 22:00 to 2020/06/09 23:00,3.47,0.44
2020/06/09 23:00 to 2020/06/10 00:00,2.98,0.38
2020/06/10 00:00 to 2020/06/10 01:00,2.11,0.27
2020/06/10 01:00 to 2020/06/10 02:00,2.38,0.3
2020/06/10 02:00 to 2020/06/10 03:00,1.87,0.24
2020/06/10 03:00 to 2020/06/10 04:00,1.67,0.21
2020/06/10 04:00 to 2020/06/10 05:00,1.42,0.18
2020/06/10 05:00 to 2020/06/10 06:00,1.44,0.18
2020/06/10 06:00 to 2020/06/10 07:00,1.52,0.19
2020/06/10 07:00 to 2020/06/10 08:00,1.48,0.19
2020/06/10 08:00 to 2020/06/10 09:00,1.5,0.19
2020/06/10 09:00 to 2020/06/10 10:00,1.79,0.23
2020/06/10 10:00 to 2020/06/10 11:00,2.57,0.33
2020/06/10 11:00 to 2020/06/10 12:00,3.19,0.41
2020/06/10 12:00 to 2020/06/10 13:00,3.62,0.46
2020/06/10 13:00 to 2020/06/10 14:00,3.37,0.43
2020/06/10 14:00 to 2020/06/10 15:00,3.25,0.42
2020/06/10 15:00 to 2020/06/10 16:00,3.46,0.44
2020/06/10 16:00 to 2020/06/10 17:00,3.62,0.46
2020/06/10 17:00 to 2020/06/10 18:00,3.71,0.47
2020/06/10 18:00 to 2020/06/10 19:00,3.72,0.48
2020/06/10 19:00 to 2020/06/10 20:00,3.43,0.44
2020/06/10 20:00 to 2020/06/10 21:00,3.28,0.42
2020/06/10 21:00 to 2020/06/10 22:00,3.23,0.41
2020/06/10 22:00 to 2020/06/10 23:00,2.88,0.37
2020/06/10 23:00 to 2020/06/11 00:00,1.59,0.2
2020/06/11 00:00 to 2020/06/11 01:00,1.85,0.24
2020/06/11 01:00 to 2020/06/11 02:00,2.39,0.31
2020/06/11 02:00 to 2020/06/11 03:00,1.54,0.2
2020/06/11 03:00 to 2020/06/11 04:00,1.11,0.14
2020/06/11 04:00 to 2020/06/11 05:00,0.66,0.08
2020/06/11 05:00 to 2020/06/11 06:00,0.87,0.11
2020/06/11 06:00 to 2020/06/11 07:00,0.91,0.12
2020/06/11 07:00 to 2020/06/11 08:00,0.83,0.11
2020/06/11 08:00 to 2020/06/11 09:00,1.1,0.14
2020/06/11 09:00 to 2020/06/11 10:00,2.03,0.26
2020/06/11 10:00 to 2020/06/11 11:00,2.31,0.3
2020/06/11 11:00 to 2020/06/11 12:00,2.82,0.36
2020/06/11 12:00 to 2020/06/11 13:00,5.6,0.72
2020/06/11 13:00 to 2020/06/11 14:00,3.33,0.43
2020/06/11 14:00 to 2020/06/11 15:00,3.26,0.42
2020/06/11 15:00 to 2020/06/11 16:00,2.52,0.32
2020/06/11 16:00 to 2020/06/11 17:00,2.39,0.31
2020/06/11 17:00 to 2020/06/11 18:00,3.14,0.4
2020/06/11 18:00 to 2020/06/11 19:00,3.21,0.41
2020/06/11 19:00 to 2020/06/11 20:00,3.32,0.42
2020/06/11 20:00 to 2020/06/11 21:00,3.44,0.44
2020/06/11 21:00 to 2020/06/11 22:00,3.48,0.45
2020/06/11 22:00 to 2020/06/11 23:00,2.77,0.35
2020/06/11 23:00 to 2020/06/12 00:00,1.78,0.23
2020/06/12 00:00 to 2020/06/12 01:00,1.86,0.24
2020/06/12 01:00 to 2020/06/12 02:00,1.74,0.22
2020/06/12 02:00 to 2020/06/12 03:00,0.77,0.1
2020/06/12 03:00 to 2020/06/12 04:00,1.31,0.17
2020/06/12 04:00 to 2020/06/12 05:00,1.15,0.15
2020/06/12 05:00 to 2020/06/12 06:00,0.69,0.09
2020/06/12 06:00 to 2020/06/12 07:00,0.69,0.09
2020/06/12 07:00 to 2020/06/12 08:00,0.82,0.1
2020/06/12 08:00 to 2020/06/12 09:00,0.7,0.09
2020/06/12 09:00 to 2020/06/12 10:00,1.45,0.19
2020/06/12 10:00 to 2020/06/12 11:00,2.54,0.33
2020/06/12 11:00 to 2020/06/12 12:00,2.25,0.29
2020/06/12 12:00 to 2020/06/12 13:00,2.93,0.38
2020/06/12 13:00 to 2020/06/12 14:00,3.32,0.42
2020/06/12 14:00 to 2020/06/12 15:00,3.13,0.4
2020/06/12 15:00 to 2020/06/12 16:00,2.64,0.34
2020/06/12 16:00 to 2020/06/12 17:00,2.54,0.33
2020/06/12 17:00 to 2020/06/12 18:00,3.09,0.4
2020/06/12 18:00 to 2020/06/12 19:00,3.4,0.44
2020/06/12 19:00 to 2020/06/12 20:00,3.98,0.51
2020/06/12 20:00 to 2020/06/12 21:00,6.48,0.83
2020/06/12 21:00 to 2020/06/12 22:00,3.23,0.41
2020/06/12 22:00 to 2020/06/12 23:00,2.67,0.34
2020/06/12 23:00 to 2020/06/13 00:00,2.67,0.34
2020/06/13 00:00 to 2020/06/13 01:00,2.95,0.19
2020/06/13 01:00 to 2020/06/13 02:00,2.81,0.18
2020/06/13 02:00 to 2020/06/13 03:00,1.78,0.12
2020/06/13 03:00 to 2020/06/13 04:00,1,0.06
2020/06/13 04:00 to 2020/06/13 05:00,0.81,0.05
2020/06/13 05:00 to 2020/06/13 06:00,0.83,0.05
2020/06/13 06:00 to 2020/06/13 07:00,0.8,0.05
2020/06/13 07:00 to 2020/06/13 08:00,0.79,0.05
2020/06/13 08:00 to 2020/06/13 09:00,0.76,0.05
2020/06/13 09:00 to 2020/06/13 10:00,0.91,0.06
2020/06/13 10:00 to 2020/06/13 11:00,0.79,0.05
2020/06/13 11:00 to 2020/06/13 12:00,1.78,0.12
2020/06/13 12:00 to 2020/06/13 13:00,1.21,0.08
2020/06/13 13:00 to 2020/06/13 14:00,2.04,0.13
2020/06/13 14:00 to 2020/06/13 15:00,2.11,0.14
2020/06/13 15:00 to 2020/06/13 16:00,1.65,0.11
2020/06/13 16:00 to 2020/06/13 17:00,2.49,0.16
2020/06/13 17:00 to 2020/06/13 18:00,3.47,0.23
2020/06/13 18:00 to 2020/06/13 19:00,3.6,0.23
2020/06/13 19:00 to 2020/06/13 20:00,3.88,0.25
2020/06/13 20:00 to 2020/06/13 21:00,2.72,0.18
2020/06/13 21:00 to 2020/06/13 22:00,1.55,0.1
2020/06/13 22:00 to 2020/06/13 23:00,1.35,0.09
2020/06/13 23:00 to 2020/06/14 00:00,1.43,0.09
2020/06/14 00:00 to 2020/06/14 01:00,2.45,0.16
2020/06/14 01:00 to 2020/06/14 02:00,2.75,0.18
2020/06/14 02:00 to 2020/06/14 03:00,1.81,0.12
2020/06/14 03:00 to 2020/06/14 04:00,1.32,0.09
2020/06/14 04:00 to 2020/06/14 05:00,1.26,0.08
2020/06/14 05:00 to 2020/06/14 06:00,1.3,0.08
2020/06/14 06:00 to 2020/06/14 07:00,1.41,0.09
2020/06/14 07:00 to 2020/06/14 08:00,1.32,0.09
2020/06/14 08:00 to 2020/06/14 09:00,1.16,0.08
2020/06/14 09:00 to 2020/06/14 10:00,1.19,0.08
2020/06/14 10:00 to 2020/06/14 11:00,1.37,0.09
2020/06/14 11:00 to 2020/06/14 12:00,1.71,0.11
2020/06/14 12:00 to 2020/06/14 13:00,3.1,0.2
2020/06/14 13:00 to 2020/06/14 14:00,17.18,1.12
2020/06/14 14:00 to 2020/06/14 15:00,11.68,0.76
2020/06/14 15:00 to 2020/06/14 16:00,2.82,0.18
2020/06/14 16:00 to 2020/06/14 17:00,2.33,0.15
2020/06/14 17:00 to 2020/06/14 18:00,2.52,0.16
2020/06/14 18:00 to 2020/06/14 19:00,4.38,0.28
2020/06/14 19:00 to 2020/06/14 20:00,3.4,0.22
2020/06/14 20:00 to 2020/06/14 21:00,3.15,0.2
2020/06/14 21:00 to 2020/06/14 22:00,2.44,0.16
2020/06/14 22:00 to 2020/06/14 23:00,19.13,1.24
2020/06/14 23:00 to 2020/06/15 00:00,12.71,0.83
2020/06/15 00:00 to 2020/06/15 01:00,2.25,0.29
2020/06/15 01:00 to 2020/06/15 02:00,2.41,0.31
2020/06/15 02:00 to 2020/06/15 03:00,1.74,0.22
2020/06/15 03:00 to 2020/06/15 04:00,1.38,0.18
2020/06/15 04:00 to 2020/06/15 05:00,1.35,0.17
2020/06/15 05:00 to 2020/06/15 06:00,1.28,0.16
2020/06/15 06:00 to 2020/06/15 07:00,1.33,0.17
2020/06/15 07:00 to 2020/06/15 08:00,1.49,0.19
2020/06/15 08:00 to 2020/06/15 09:00,1.43,0.18
2020/06/15 09:00 to 2020/06/15 10:00,1.51,0.19
2020/06/15 10:00 to 2020/06/15 11:00,2.7,0.35
2020/06/15 11:00 to 2020/06/15 12:00,2.99,0.38
2020/06/15 12:00 to 2020/06/15 13:00,2.71,0.35
2020/06/15 13:00 to 2020/06/15 14:00,1.92,0.25
2020/06/15 14:00 to 2020/06/15 15:00,2.25,0.29
2020/06/15 15:00 to 2020/06/15 16:00,2.89,0.37
2020/06/15 16:00 to 2020/06/15 17:00,3.29,0.42
2020/06/15 17:00 to 2020/06/15 18:00,6.92,0.89
2020/06/15 18:00 to 2020/06/15 19:00,4.74,0.61
2020/06/15 19:00 to 2020/06/15 20:00,3.62,0.46
2020/06/15 20:00 to 2020/06/15 21:00,3.75,0.48
2020/06/15 21:00 to 2020/06/15 22:00,4.11,0.53
2020/06/15 22:00 to 2020/06/15 23:00,18.16,2.32
2020/06/15 23:00 to 2020/06/16 00:00,2.6,0.33
2020/06/16 00:00 to 2020/06/16 01:00,2.37,0.3
2020/06/16 01:00 to 2020/06/16 02:00,2.35,0.3
2020/06/16 02:00 to 2020/06/16 03:00,2.25,0.29
2020/06/16 03:00 to 2020/06/16 04:00,1.29,0.17
2020/06/16 04:00 to 2020/06/16 05:00,1.31,0.17
2020/06/16 05:00 to 2020/06/16 06:00,1.33,0.17
2020/06/16 06:00 to 2020/06/16 07:00,1.27,0.16
2020/06/16 07:00 to 2020/06/16 08:00,1.3,0.17
2020/06/16 08:00 to 2020/06/16 09:00,1.51,0.19
2020/06/16 09:00 to 2020/06/16 10:00,2.5,0.32
2020/06/16 10:00 to 2020/06/16 11:00,2.75,0.35
2020/06/16 11:00 to 2020/06/16 12:00,3.57,0.46
2020/06/16 12:00 to 2020/06/16 13:00,3.41,0.44
2020/06/16 13:00 to 2020/06/16 14:00,3.7,0.47
2020/06/16 14:00 to 2020/06/16 15:00,6.83,0.87
2020/06/16 15:00 to 2020/06/16 16:00,5.24,0.67
2020/06/16 16:00 to 2020/06/16 17:00,4.73,0.61
2020/06/16 17:00 to 2020/06/16 18:00,6.79,0.87
2020/06/16 18:00 to 2020/06/16 19:00,5.04,0.65
2020/06/16 19:00 to 2020/06/16 20:00,3.66,0.47
2020/06/16 20:00 to 2020/06/16 21:00,3.76,0.48
2020/06/16 21:00 to 2020/06/16 22:00,3.63,0.46
2020/06/16 22:00 to 2020/06/16 23:00,6.55,0.84
2020/06/16 23:00 to 2020/06/17 00:00,3.38,0.43
2020/06/17 00:00 to 2020/06/17 01:00,2.16,0.28
2020/06/17 01:00 to 2020/06/17 02:00,2.15,0.28
2020/06/17 02:00 to 2020/06/17 03:00,1.45,0.19
2020/06/17 03:00 to 2020/06/17 04:00,1.34,0.17
2020/06/17 04:00 to 2020/06/17 05:00,1.33,0.17
2020/06/17 05:00 to 2020/06/17 06:00,1.33,0.17
2020/06/17 06:00 to 2020/06/17 07:00,1.25,0.16
2020/06/17 07:00 to 2020/06/17 08:00,1.33,0.17
2020/06/17 08:00 to 2020/06/17 09:00,2.02,0.26
2020/06/17 09:00 to 2020/06/17 10:00,2.82,0.36
2020/06/17 10:00 to 2020/06/17 11:00,2.76,0.35
2020/06/17 11:00 to 2020/06/17 12:00,2.3,0.29
2020/06/17 12:00 to 2020/06/17 13:00,3.99,0.51
2020/06/17 13:00 to 2020/06/17 14:00,3.91,0.5
2020/06/17 14:00 to 2020/06/17 15:00,3.96,0.51
2020/06/17 15:00 to 2020/06/17 16:00,3.2,0.41
2020/06/17 16:00 to 2020/06/17 17:00,3.59,0.46
2020/06/17 17:00 to 2020/06/17 18:00,3.88,0.5
2020/06/17 18:00 to 2020/06/17 19:00,3.46,0.44
2020/06/17 19:00 to 2020/06/17 20:00,3.58,0.46
2020/06/17 20:00 to 2020/06/17 21:00,3.59,0.46
